Case,Question,Predicted,Gold,Score
Case8,Q0,Whole Exome Sequencing (WES),Whole Exome Sequencing (WES),1
Case8,Q1,Yes,Yes,1
Case8,Q2,Yes,Yes,1
Case8,Q3,No,No,1
Case8,Q4,No,Yes,0
Case8,Q5,Not required,No,0
Case8,Q6,No,No,1
Case8,Q7,No,No,1
Case8,Q8,Yes,Yes,1
Case8,Q8_followup,None,Neurodevelopmental gene panel,0
Case8,Q9,No,Yes,0
Case8,Q10,No,Yes,0
Case8,Q11,Yes,No,0
Case8,Q12,No,No,1
Case8,Q13,Not specified,Yes,0
Case8,Q14,Yes,Yes,1
Case8,Q14_followup,None,81415,0
Case8,Q15,No,No,1
Case8,Q16,No,No,1
Case8,TOTAL,Correct: 11,Incorrect: 8,Accuracy: 57.89%
