Case,question_id,Predicted,Gold,correct
Case46,Q0,Mitochondrial DNA sequencing,Mitochondrial DNA panel (mtDNA panel),0
Case46,Q1,Not specified,Yes,0
Case46,Q2,Yes,Yes,1
Case46,Q3,Yes,Yes,1
Case46,Q4,Yes,Yes,1
Case46,Q4_followup,None,Yes,0
Case46,Q5,Not required,Yes,0
Case46,Q6,No,No,1
Case46,Q7,Yes,Yes,1
Case46,Q8,No,No,1
Case46,Q9,Yes,Yes,1
Case46,Q9_followup,None,Yes,0
Case46,Q10,No,No,1
Case46,Q10_followup,None,Diagnostic,0
Case46,Q11,Yes,Yes,1
Case46,Q12,No,No,1
Case46,Q13,Not specified,Yes,0
Case46,Q14,Yes,Yes,1
Case46,Q14_followup,None,81460,0
Case46,Q15,No,No,1
Case46,Q16,Yes,Yes,1
Case46,TOTAL,Correct: 13,Incorrect: 8,Accuracy: 61.90%
